=== Partida ===
Configuración:
  Estrategias: AlwaysDefectStrategy vs AlwaysCooperateStrategy
  Rondas: 100
  Scoring:
    - Cooperación mutua: 3
    - Defección mutua: 1
    - Traición: 5/0 (traidor/traicionado)
Desarrollo:
Ronda 1: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 54: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 55: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 56: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 57: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 58: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 59: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 60: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 61: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 62: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 63: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 64: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 65: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 66: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 67: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 68: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 69: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 70: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 71: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 72: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 73: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 74: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 75: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 76: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 77: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 78: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 79: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 80: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 81: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 82: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 83: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 84: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 85: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 86: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 87: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 88: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 89: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 90: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 91: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 92: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 93: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 94: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 95: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 96: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 97: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 98: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 99: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Ronda 100: AlwaysDefectStrategy=DEFECT, AlwaysCooperateStrategy=COOPERATE (5-0)
Resumen:
  AlwaysDefectStrategy:
    - Puntuación final: 500
    - Cooperaciones: 0.00%
    - Defecciones: 100.00%
  AlwaysCooperateStrategy:
    - Puntuación final: 0
    - Cooperaciones: 100.00%
    - Defecciones: 0.00%
